Game,Month,Hours Watched,Hours Gained,% Hour Gained,Average Viewers, Viewers Gained,% Viewers Gained,Peak Concurrent Viewers ,Average Concurrent Streams,Concurrent Streams Gain,% Concurrent Streans Gain,Peak Concurrent Streams
Counter Strike Global Offensive,09/01/17,27.3M,+7.12M,35.30%,37.9K,"10,750",39.60%,288K,774,-90,-10.40%,1.5K
Counter Strike Global Offensive,08/01/17,20.2M,-47.6M,-70.30%,27.2K,"-64,282",-70.30%,207K,864,24,2.90%,1.6K
Counter Strike Global Offensive,07/01/17,67.8M,+46.0M,211%,91.4K,"61,128",202%,947K,840,52,6.60%,1.6K
Counter Strike Global Offensive,06/01/17,21.8M,-1.35M,-5.80%,30.3K,"-1,478",-4.60%,275K,788,-45,-5.40%,1.5K
Counter Strike Global Offensive,05/01/17,23.1M,-13.3M,-36.40%,31.8K,"-19,046",-37.50%,195K,833,-43,-4.90%,1.7K
Counter Strike Global Offensive,04/01/17,36.4M,-438K,-1.20%,50.8K,"1,263",2.50%,417K,876,-68,-7.20%,1.8K
Counter Strike Global Offensive,03/01/17,36.8M,-3.54M,-8.80%,49.6K,"-10,568",-17.60%,507K,944,-65,-6.40%,2.1K
Counter Strike Global Offensive,02/01/17,40.4M,-31.7M,-44%,60.1K,"-37,216",-38.20%,461K,1.0K,72,7.70%,2.1K
Counter Strike Global Offensive,01/01/17,72.1M,+41.6M,137%,97.4K,"56,267",137%,1.15M,937,137,17.10%,2.2K
Counter Strike Global Offensive,12/01/16,30.5M,-,-,41.1K,-,-,237K,800,-,-,1.7K
Fortnite,01/01/21,86.3M,-22.2M,-20.40%,133K,"-12,620",-8.60%,1000K,9.8K,58,0.60%,19.4K
Fortnite,12/01/20,108M,+25.5M,30.70%,146K,"30,660",26.60%,1.59M,9.7K,"1,158",13.50%,133K
Fortnite,11/01/20,83.0M,-2.69M,-3.10%,115K,176,0.20%,498K,8.6K,798,10.30%,25.2K
Fortnite,10/01/20,61.5M,-16.2M,-20.80%,111K,"3,470",3.20%,355K,7.6K,"-1,134",-13.00%,14.6K
Fortnite,09/01/20,77.7M,-21.1M,-21.30%,108K,"-24,884",-18.70%,271K,8.7K,"-1,999",-18.70%,17.2K
Fortnite,08/01/20,98.8M,-6.52M,-6.20%,133K,"-8,834",-6.20%,499K,10.7K,"-1,258",-10.50%,21.9K
Fortnite,07/01/20,105M,-6.15M,-5.50%,142K,"-13,479",-8.70%,327K,12.0K,"-1,487",-11.10%,21.1K
Fortnite,06/01/20,111M,-11.0M,-9%,155K,"-9,969",-6%,2.28M,13.4K,-322,-2%,118K
Fortnite,05/01/20,122M,+25.3M,26.10%,165K,"29,538",21.80%,625K,13.8K,"3,484",33.90%,40.2K
Fortnite,04/01/20,97.1M,+30.9M,46.80%,136K,"46,532",52.20%,1.27M,10.3K,"3,895",61.00%,58.4K
Fortnite,03/01/20,66.2M,+10.8M,19.60%,89.1K,"9,427",11.80%,289K,6.4K,670,11.70%,13.0K
Fortnite,02/01/20,55.3M,+1.52M,2.80%,79.7K,"7,336",10.10%,276K,5.7K,-197,-3.30%,11.9K
Fortnite,01/01/20,53.8M,-10.3M,-16.10%,72.3K,"-14,026",-16.20%,619K,5.9K,727,14.00%,11.3K
Fortnite,12/01/19,64.1M,+7.55M,13%,86.4K,"4,900",6%,943K,5.2K,281,6%,35.6K
Fortnite,11/01/19,56.6M,-18.7M,-24.80%,81.5K,"-24,536",-23.10%,414K,4.9K,-390,-7.40%,10.3K
Fortnite,10/01/19,75.3M,+14.9M,24.60%,106K,"22,077",26.30%,1.69M,5.3K,406,8.30%,43.2K
Fortnite,09/01/19,60.4M,-28.6M,-32.10%,83.9K,"-35,687",-29.80%,335K,4.9K,"-2,417",-33.10%,9.6K
Fortnite,08/01/19,89.0M,-1.52M,-1.70%,120K,"-2,092",-1.70%,335K,7.3K,-362,-4.70%,14.9K
Fortnite,07/01/19,90.5M,-2.25M,-2.40%,122K,"-7,133",-5.50%,1.29M,7.7K,-378,-4.70%,47.3K
Fortnite,06/01/19,92.8M,-14.3M,-13.40%,129K,"-15,171",-10.50%,494K,8.0K,"-1,091",-11.90%,15.4K
Fortnite,05/01/19,107M,+6.69M,6.70%,144K,"4,582",3.30%,642K,9.1K,"-1,325",-12.70%,55.4K
Fortnite,04/01/19,100M,-897K,-0.90%,139K,"3,197",2.30%,474K,10.5K,-796,-7.10%,22.0K
Fortnite,03/01/19,101M,+17.3M,20.60%,136K,"11,243",9%,429K,11.3K,494,4.60%,23.5K
Fortnite,02/01/19,84.0M,-42.6M,-33.60%,125K,"-45,151",-26.50%,682K,10.8K,"-2,950",-21.50%,66.6K
Fortnite,01/01/19,127M,+8.68M,7.40%,170K,"11,661",7.40%,762K,13.7K,"1,612",13.30%,56.8K
Fortnite,12/01/18,118M,+7.82M,7.10%,158K,"5,579",3.60%,419K,12.1K,"2,671",28.30%,22.5K
Fortnite,11/01/18,110M,-1.73M,-1.50%,153K,"2,278",1.50%,1.06M,9.4K,508,5.70%,37.0K
Fortnite,10/01/18,112M,+5.69M,5.40%,151K,"3,136",2.10%,582K,8.9K,"-1,361",-13.20%,21.2K
Fortnite,09/01/18,106M,-25.3M,-19.30%,147K,"-29,406",-16.60%,729K,10.3K,-696,-6.30%,20.1K
Fortnite,08/01/18,131M,-19.3M,-12.80%,177K,"-28,371",-13.80%,698K,11.0K,83,0.80%,17.4K
Fortnite,07/01/18,151M,+23.8M,18.80%,205K,"28,969",16.40%,835K,10.9K,"1,458",15.40%,19.5K
Fortnite,06/01/18,127M,-17.6M,-12.20%,176K,"-17,990",-9.30%,1.50M,9.4K,-837,-8.10%,23.8K
Fortnite,05/01/18,144M,+16.1M,12.50%,194K,"15,545",8.70%,581K,10.3K,110,1.10%,18.1K
Fortnite,04/01/18,128M,+9.84M,8.30%,179K,"19,375",12.20%,687K,10.2K,"2,017",24.70%,18.2K
Fortnite,03/01/18,119M,+53.2M,81.30%,159K,"61,757",63.30%,840K,8.2K,"3,024",59%,17.2K
Fortnite,02/01/18,65.4M,+19.5M,42.60%,97.6K,"35,966",58.40%,264K,5.1K,"1,947",61.20%,10.5K
Fortnite,01/01/18,45.8M,+13.3M,40.70%,61.6K,"17,819",40.70%,194K,3.2K,"1,154",57%,6.4K
Fortnite,12/01/17,32.6M,+9.21M,39.40%,43.8K,"11,314",34.80%,127K,2.0K,649,47.20%,3.9K
Fortnite,11/01/17,23.4M,-499K,-2.10%,32.5K,"10,764",49.50%,154K,1.4K,56,4.20%,2.6K
Fortnite,10/01/17,23.9M,+16.8M,239%,21.7K,"15,218",233%,79.2K,1.3K,"1,028",352%,2.3K
Fortnite,09/01/17,7.04M,+4.97M,241%,6.5K,"4,669",252%,78.4K,292,98,50.50%,2.1K
Fortnite,08/01/17,2.07M,-3.60M,-63.50%,1.9K,"-10,275",-84.70%,14.6K,194,-310,-61.50%,698
Fortnite,07/01/17,5.67M,-,-,12.1K,-,-,76.1K,504,-,-,1.3K
League of Legends ,01/01/21,145M,+48.7M,50.60%,224K,"94,516",73%,699K,5.8K,"1,380",31.10%,11.6K
League of Legends ,12/01/20,96.2M,-24.8M,-20.50%,130K,"-38,747",-23%,320K,4.4K,-286,-6.10%,8.0K
League of Legends ,11/01/20,121M,-50.7M,-29.50%,168K,"-62,686",-27.10%,345K,4.7K,190,4.20%,8.9K
League of Legends ,10/01/20,125M,-10.4M,-7.70%,226K,"38,062",20.30%,1.42M,4.5K,58,1.30%,8.5K
League of Legends ,09/01/20,135M,-7.58M,-5.30%,187K,"-4,196",-2.20%,795K,4.4K,40,0.90%,6.8K
League of Legends ,08/01/20,142M,+7.25M,5.40%,192K,"9,710",5.30%,730K,4.4K,-5,-0.10%,7.5K
League of Legends ,07/01/20,135M,-7.69M,-5.40%,182K,"-16,987",-8.50%,505K,4.4K,213,5.10%,7.3K
