Game,Month,Hours Watched,Average Viewers,Average Concurrent Streams,Peak Concurrent Streams,Peak Viewers 
Fortnite,5/1/18,144M,194K,10.3K,18.1K,581K
Fortnite,4/1/18,128M,179K,10.2K,18.2K,687K
Fortnite,3/1/18,119M,159K,8.2K,17.2K,840K
Fortnite,2/1/18,65.4M,97.6K,5.1K,10.5K,264K
Fortnite,1/1/18,45.8M,61.6K,3.2K,6.4K,194K
Fortnite,12/1/17,32.6M,43.8K,2.0K,3.9K,127K
Fortnite,11/1/17,23.4M,32.5K,1.4K,2.6K,154K
Fortnite,10/1/17,23.9M,21.7K,1.3K,2.3K,79.2K
Fortnite,9/1/17,7.04M,6.5K,292,2.1K,78.4K
Fortnite,8/1/17,2.07M,1.9K,194,698,14.6K
Fortnite,7/1/17,5.67M,12.1K,504,1.3K,76.1K
League of Legends ,1/1/21,145M,224K,5.8K,11.6K,699K
League of Legends ,12/1/20,96.2M,130K,4.4K,8.0K,320K
League of Legends ,11/1/20,121M,168K,4.7K,8.9K,345K
League of Legends ,10/1/20,125M,226K,4.5K,8.5K,1.42M
League of Legends ,9/1/20,135M,187K,4.4K,6.8K,795K
League of Legends ,8/1/20,142M,192K,4.4K,7.5K,730K
League of Legends ,7/1/20,135M,182K,4.4K,7.3K,505K
League of Legends ,6/1/20,143M,199K,4.2K,7.5K,561K
League of Legends ,5/1/20,127M,172K,4.7K,8.3K,507K
League of Legends ,4/1/20,135M,189K,4.8K,8.8K,736K
League of Legends ,3/1/20,123M,166K,4.1K,8.4K,430K
League of Legends ,2/1/20,121M,175K,3.7K,7.3K,402K
League of Legends ,1/1/20,99.7M,134K,4.0K,8.0K,348K
League of Legends ,12/1/19,78.5M,106K,3.1K,6.4K,232K
League of Legends ,11/1/19,91.8M,132K,3.0K,4.5K,1.74M
League of Legends ,10/1/19,121M,170K,3.0K,5.9K,1.10M
League of Legends ,9/1/19,77.6M,108K,2.7K,4.5K,654K
League of Legends ,8/1/19,86.1M,116K,2.7K,5.3K,463K
League of Legends ,7/1/19,68.2M,91.7K,2.4K,3.4K,275K
League of Legends ,6/1/19,89.1M,124K,2.8K,3.9K,322K
League of Legends ,5/1/19,103M,138K,2.8K,4.1K,816K
League of Legends ,4/1/19,92.4M,128K,2.7K,4.0K,548K
League of Legends ,3/1/19,108M,146K,2.6K,4.0K,377K
League of Legends ,2/1/19,95.0M,141K,2.6K,4.5K,370K
League of Legends ,1/1/19,99.1M,133K,3.0K,6.1K,400K
League of Legends ,12/1/18,72.0M,96.8K,2.4K,3.5K,344K
League of Legends ,11/1/18,84.5M,117K,2.4K,5.0K,1.13M
League of Legends ,10/1/18,109M,147K,2.2K,3.4K,923K
League of Legends ,9/1/18,76.5M,106K,2.1K,3.1K,424K
League of Legends ,8/1/18,81.2M,109K,2.0K,2.8K,934K
League of Legends ,7/1/18,74.9M,102K,1.8K,2.8K,232K
League of Legends ,6/1/18,72.4M,101K,1.8K,3.3K,244K
League of Legends ,5/1/18,82.0M,110K,1.9K,2.8K,511K
League of Legends ,4/1/18,74.1M,103K,2.0K,3.9K,486K
League of Legends ,3/1/18,88.8M,119K,2.1K,3.2K,364K
League of Legends ,2/1/18,81.0M,121K,2.3K,3.5K,305K
League of Legends ,1/1/18,89.0M,120K,2.4K,4.8K,440K
League of Legends ,12/1/17,69.6M,93.5K,1.9K,3.2K,325K
League of Legends ,11/1/17,82.8M,115K,1.9K,2.9K,1.09M
League of Legends ,10/1/17,94.6M,127K,1.8K,2.8K,886K
League of Legends ,9/1/17,74.4M,103K,1.7K,2.6K,376K
League of Legends ,8/1/17,71.8M,96.7K,1.7K,2.7K,350K
League of Legends ,7/1/17,84.6M,114K,1.7K,2.5K,326K
League of Legends ,6/1/17,84.6M,118K,1.6K,2.4K,281K
League of Legends ,5/1/17,86.6M,118K,1.7K,2.5K,648K
League of Legends ,4/1/17,82.5M,115K,1.6K,2.5K,488K
League of Legends ,3/1/17,90.8M,122K,1.6K,2.5K,326K
League of Legends ,2/1/17,99.3M,148K,1.8K,2.8K,391K
League of Legends ,1/1/17,99.1M,134K,1.8K,2.9K,378K
League of Legends ,12/1/16,81.0M,109K,1.7K,2.5K,334K
